userId,classId,assignedVisitor,assignedTechAsst
202330403101,1,1,2023210442
202330403102,1,2,202422040688
202330403109,1,3,2023220556
202330403144,1,4,202511040202
202330403115,1,5,202422040635
202330403134,1,6,202421040503
202330403129,1,7,202421040503
202330403143,1,8,202422040688
202330403154,1,9,2023220570
202330403116,1,10,202422040635
202330403111,1,1,2023210442
202330403118,1,2,202422040688
202330403132,1,3,2023220556
202330403159,1,4,202511040202
202330403110,1,5,202422040635
202330403108,1,6,202421040503
202330403152,1,7,202421040503
202330403150,1,8,202422040688
202330403122,1,9,2023220570
202330403147,1,10,202422040635
202330403131,1,1,2023210442
202330403103,1,2,202422040688
202330403120,1,3,2023220556
202330403138,1,4,202511040202
202330403104,1,5,202422040635
202330403123,1,6,202421040503
202330403157,1,7,202421040503
202330403127,1,8,202422040688
202330403151,1,9,2023220570
202330403149,1,10,202422040635
202330403130,1,1,2023210442
202330403146,1,2,202422040688
202331803113,1,3,2023220556
202330403227,2,1,2023210442
202330403230,2,2,202422040688
202330403229,2,3,2023220556
202330403217,2,4,202511040202
202330403245,2,5,202422040635
202330403204,2,6,202421040503
202330403203,2,7,202421040503
202330403248,2,8,202422040688
202330403254,2,9,2023220570
202330403220,2,10,202422040635
202332309218,2,1,2023210442
202330403214,2,2,202422040688
202330403223,2,3,2023220556
202330403235,2,4,202511040202
202330403234,2,5,202422040635
202330403247,2,6,202421040503
202330403212,2,7,202421040503
202330403215,2,8,202422040688
202330403244,2,9,2023220570
202330403257,2,10,202422040635
202330403258,2,1,2023210442
202330403238,2,2,202422040688
202330403228,2,3,2023220556
202330403226,2,4,202511040202
202330403231,2,5,202422040635
202330403256,2,6,202421040503
202330403241,2,7,202421040503
202330403222,2,8,202422040688
202330403240,2,9,2023220570
202330403236,2,10,202422040635
202330403208,2,1,2023210442
202330403232,2,2,202422040688
202330403233,2,3,2023220556
202330403239,2,4,202511040202
202330403251,2,5,202422040635
202330403210,2,6,202421040503
202330403246,2,7,202421040503
202421040610,3,1,2023210442
2023220551,3,2,202422040688
20242140593,3,3,2023220556
202421040556,3,4,202511040202
202421040557,3,5,202422040635
202421040567,3,6,202421040503
202421040586,3,7,202421040503
202421040564,3,8,202422040688
202421040622,3,9,2023220570
202421040559,3,10,202422040635
2023220575,3,1,2023210442
202421040569,3,2,202422040688
202421040496,3,3,2023220556
202421040595,3,4,202511040202
202421040600,3,5,202422040635
202421040524,3,6,202421040503
202421040535,3,7,202421040503
202421040538,3,8,202422040688
202421040477,3,9,2023220570
202421040536,3,10,202422040635
202421040621,3,1,2023210442
202421040527,3,3,2023220556
202422040645,3,3,2023220556
202422040667,3,4,202511040202
202421040562,3,5,202422040635
202421040481,3,6,202421040503
202421040478,3,7,202421040503
202421040604,3,8,202422040688
202421040526,3,9,2023220570
202421040627,3,10,202422040635
202422040683,3,1,2023210442
202421040614,3,3,2023220556
202421040620,3,4,202511040202
202421040561,3,4,202511040202
202421040584,3,8,202422040688
202421040530,3,9,2023220570
202421040532,3,9,2023220570
2023210437,3,9,2023220570
202421040508,3,9,2023220570
2023210438,3,10,202422040635
202421040571,3,1,2023210442
202422040691,3,4,202511040202
202421040529,3,4,202511040202
202421040598,3,1,2023210442